,BIO_SEX,H1PF18,H1PF19,H1PF20,H1PF21,H1TO15,H1FS1,H1FS2,H1FS3,H1FS4,H1FS5,H1FS6,H1FS7,H1FS8,H1FS9
1448,(2) Female,(5) Strongly disagree,(3) Neither agree nor disagree,(4) Disagree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(3) Most/all of the time,(0) Never/rarely
839,(2) Female,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(3) Most/all of the time,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(3) Most/all of the time,(0) Never/rarely
2414,(2) Female,(4) Disagree,(2) Agree,(2) Agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(1) Sometimes,(1) Sometimes,(1) Sometimes,(2) A lot of the time,(1) Sometimes,(3) Most/all of the time,(1) Sometimes,(1) Sometimes,(3) Most/all of the time
5455,(2) Female,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(4) 2 or 3 days/month,(1) Sometimes,(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(1) Sometimes,(2) A lot of the time,(1) Sometimes,(3) Most/all of the time,(1) Sometimes
5673,(2) Female,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
2062,(1) Male,(1) Strongly agree,(3) Neither agree nor disagree,(2) Agree,(2) Agree,(3) 1 or 2 days/week,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(2) A lot of the time,(0) Never/rarely
93,(1) Male,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(4) Disagree,(3) Neither agree nor disagree,(5) Once a month or less (3-12 times in past 12 months),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(0) Never/rarely
5945,(1) Male,(1) Strongly agree,(1) Strongly agree,(3) Neither agree nor disagree,(2) Agree,(4) 2 or 3 days/month,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely
404,(1) Male,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(6) 1 or 2 days in past 12 months,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(3) Most/all of the time,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(3) Most/all of the time,(0) Never/rarely
5523,(2) Female,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(6) 1 or 2 days in past 12 months,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely
